short_district,province,district_level
A Lưới,Thừa Thiên Huế,
An Biên,Kiên Giang,
An Dương,Hải Phòng,
An Khê,Gia Lai,thị xã
An Lão,Hải Phòng,
An Lão,Bình Định,
An Minh,Kiên Giang,
An Nhơn,Bình Định,thị xã
An Phú,An Giang,
Ân Thi,Hưng Yên,
Anh Sơn,Nghệ An,
Ayun Pa,Gia Lai,thị xã
Ba Bể,Bắc Kạn,
Ba Chẽ,Quảng Ninh,
Ba Đình,Hà Nội,quận
Ba Đồn,Quảng Bình,thị xã
Bà Rịa,Bà Rịa – Vũng Tàu,thành phố
Bá Thước,Thanh Hóa,
Ba Tơ,Quảng Ngãi,
Ba Tri,Bến Tre,
Ba Vì,Hà Nội,
Bác Ái,Ninh Thuận,
Bắc Bình,Bình Thuận,
Bắc Giang,Bắc Giang,thành phố
Bắc Hà,Lào Cai,
Bắc Kạn,Bắc Kạn,thành phố
Bạc Liêu,Bạc Liêu,thành phố
Bắc Mê,Hà Giang,
Bắc Ninh,Bắc Ninh,thành phố
Bắc Quang,Hà Giang,
Bắc Sơn,Lạng Sơn,
Bắc Tân Uyên,Bình Dương,
Bắc Trà My,Quảng Nam,
Bắc Từ Liêm,Hà Nội,quận
Bắc Yên,Sơn La,
Bạch Long Vĩ,Hải Phòng,huyện đảo
Bạch Thông,Bắc Kạn,
Bảo Lạc,Cao Bằng,
Bảo Lâm,Cao Bằng,
Bảo Lâm,Lâm Đồng,
Bảo Lộc,Lâm Đồng,thành phố
Bảo Thắng,Lào Cai,
Bảo Yên,Lào Cai,
Bát Xát,Lào Cai,
Bàu Bàng,Bình Dương,
Bến Cát,Bình Dương,thành phố
Bến Cầu,Tây Ninh,
Bến Lức,Long An,
Bến Tre,Bến Tre,thành phố
Biên Hòa,Đồng Nai,thành phố
Bỉm Sơn,Thanh Hóa,thị xã
Bình Chánh,Thành phố Hồ Chí Minh,
Bình Đại,Bến Tre,
Bình Gia,Lạng Sơn,
Bình Giang,Hải Dương,
Bình Liêu,Quảng Ninh,
Bình Long,Bình Phước,thị xã
Bình Lục,Hà Nam,
Bình Minh,Vĩnh Long,thị xã
Bình Sơn,Quảng Ngãi,
Bình Tân,Thành phố Hồ Chí Minh,quận
Bình Tân,Vĩnh Long,
Bình Thạnh,Thành phố Hồ Chí Minh,quận
Bình Thủy,Cần Thơ,quận
Bình Xuyên,Vĩnh Phúc,
Bố Trạch,Quảng Bình,
Bù Đăng,Bình Phước,
Bù Đốp,Bình Phước,
Bù Gia Mập,Bình Phước,
Buôn Đôn,Đắk Lắk,
Buôn Hồ,Đắk Lắk,thị xã
Buôn Ma Thuột,Đắk Lắk,thành phố
Cà Mau,Cà Mau,thành phố
Cái Bè,Tiền Giang,
Cai Lậy,Tiền Giang,thị xã
Cai Lậy,Tiền Giang,
Cái Nước,Cà Mau,
Cái Răng,Cần Thơ,quận
Cẩm Giàng,Hải Dương,
Cẩm Khê,Phú Thọ,
Cam Lâm,Khánh Hòa,
Cẩm Lệ,Đà Nẵng,quận
Cam Lộ,Quảng Trị,
Cẩm Mỹ,Đồng Nai,
Cẩm Phả,Quảng Ninh,thành phố
Cam Ranh,Khánh Hòa,thành phố
Cẩm Thủy,Thanh Hóa,
Cẩm Xuyên,Hà Tĩnh,
Cần Đước,Long An,
Cần Giờ,Thành phố Hồ Chí Minh,
Cần Giuộc,Long An,
Can Lộc,Hà Tĩnh,
Càng Long,Trà Vinh,
Cao Bằng,Cao Bằng,thành phố
Cao Lãnh,Đồng Tháp,thành phố
Cao Lãnh,Đồng Tháp,
Cao Lộc,Lạng Sơn,
Cao Phong,Hòa Bình,
Cát Hải,Hải Phòng,huyện đảo
Cát Tiên,Lâm Đồng,
Cầu Giấy,Hà Nội,quận
Cầu Kè,Trà Vinh,
Cầu Ngang,Trà Vinh,
Châu Đốc,An Giang,thành phố
Châu Đức,Bà Rịa – Vũng Tàu,
Châu Phú,An Giang,
Châu Thành,An Giang,
Châu Thành,Bến Tre,
Châu Thành,Đồng Tháp,
Châu Thành,Hậu Giang,
Châu Thành,Kiên Giang,
Châu Thành,Long An,
Châu Thành,Sóc Trăng,
Châu Thành,Tây Ninh,
Châu Thành,Tiền Giang,
Châu Thành,Trà Vinh,
Châu Thành A,Hậu Giang,
Chi Lăng,Lạng Sơn,
Chí Linh,Hải Dương,thành phố
Chiêm Hóa,Tuyên Quang,
Chợ Đồn,Bắc Kạn,
Chợ Gạo,Tiền Giang,
Chợ Lách,Bến Tre,
Chợ Mới,An Giang,
Chợ Mới,Bắc Kạn,
Chơn Thành,Bình Phước,thị xã
Chư Păh,Gia Lai,
Chư Prông,Gia Lai,
Chư Pưh,Gia Lai,
Chư Sê,Gia Lai,
Chương Mỹ,Hà Nội,
Cờ Đỏ,Cần Thơ,
Cô Tô,Quảng Ninh,huyện đảo
Cồn Cỏ,Quảng Trị,huyện đảo
Con Cuông,Nghệ An,
Côn Đảo,Bà Rịa – Vũng Tàu,huyện đảo
Củ Chi,Thành phố Hồ Chí Minh,
Cư Jút,Đắk Nông,
Cư Kuin,Đắk Lắk,
Cù Lao Dung,Sóc Trăng,
Cư M'gar,Đắk Lắk,
Cửa Lò,Nghệ An,thị xã
Đà Bắc,Hòa Bình,
Đạ Huoai,Lâm Đồng,
Đakrông,Quảng Trị,
Đà Lạt,Lâm Đồng,thành phố
Đạ Tẻh,Lâm Đồng,
Đại Lộc,Quảng Nam,
Đại Từ,Thái Nguyên,
Đak Đoa,Gia Lai,
Đăk Glei,Kon Tum,
Đắk Glong,Đắk Nông,
Đăk Hà,Kon Tum,
Đắk Mil,Đắk Nông,
Đak Pơ,Gia Lai,
Đắk R'lấp,Đắk Nông,
Đắk Song,Đắk Nông,
Đăk Tô,Kon Tum,
Đầm Dơi,Cà Mau,
Đầm Hà,Quảng Ninh,
Đam Rông,Lâm Đồng,
Đan Phượng,Hà Nội,
Đất Đỏ,Bà Rịa – Vũng Tàu,
Dầu Tiếng,Bình Dương,
Dĩ An,Bình Dương,thành phố
Di Linh,Lâm Đồng,
Điện Bàn,Quảng Nam,thị xã
Điện Biên,Điện Biên,
Điện Biên Đông,Điện Biên,
Điện Biên Phủ,Điện Biên,thành phố
Diễn Châu,Nghệ An,
Diên Khánh,Khánh Hòa,
Định Hóa,Thái Nguyên,
Đình Lập,Lạng Sơn,
Định Quán,Đồng Nai,
Đô Lương,Nghệ An,
Đồ Sơn,Hải Phòng,quận
Đoan Hùng,Phú Thọ,
Đơn Dương,Lâm Đồng,
Đông Anh,Hà Nội,
Đống Đa,Hà Nội,quận
Đông Giang,Quảng Nam,
Đông Hà,Quảng Trị,thành phố
Đông Hải,Bạc Liêu,
Đông Hòa,Phú Yên,thị xã
Đồng Hới,Quảng Bình,thành phố
Đông Hưng,Thái Bình,
Đồng Hỷ,Thái Nguyên,
Đồng Phú,Bình Phước,
Đông Sơn,Thanh Hóa,
Đông Triều,Quảng Ninh,thị xã
Đồng Văn,Hà Giang,
Đồng Xoài,Bình Phước,thành phố
Đồng Xuân,Phú Yên,
Đức Cơ,Gia Lai,
Đức Hòa,Long An,
Đức Huệ,Long An,
Đức Linh,Bình Thuận,
Đức Phổ,Quảng Ngãi,thị xã
Đức Thọ,Hà Tĩnh,
Đức Trọng,Lâm Đồng,
Dương Kinh,Hải Phòng,quận
Dương Minh Châu,Tây Ninh,
Duy Tiên,Hà Nam,thị xã
Duy Xuyên,Quảng Nam,
Duyên Hải,Trà Vinh,thị xã
Duyên Hải,Trà Vinh,
Ea H'leo,Đắk Lắk,
Ea Kar,Đắk Lắk,
Ea Súp,Đắk Lắk,
Gia Bình,Bắc Ninh,
Gia Lâm,Hà Nội,
Gia Lộc,Hải Dương,
Gia Nghĩa,Đắk Nông,thành phố
Giá Rai,Bạc Liêu,thị xã
Gia Viễn,Ninh Bình,
Giang Thành,Kiên Giang,
Giao Thủy,Nam Định,
Gio Linh,Quảng Trị,
Giồng Riềng,Kiên Giang,
Giồng Trôm,Bến Tre,
Gò Công,Tiền Giang,thành phố
Gò Công Đông,Tiền Giang,
Gò Công Tây,Tiền Giang,
Gò Dầu,Tây Ninh,
Gò Quao,Kiên Giang,
Gò Vấp,Thành phố Hồ Chí Minh,quận
Hà Đông,Hà Nội,quận
Hà Giang,Hà Giang,thành phố
Hạ Hòa,Phú Thọ,
Hạ Lang,Cao Bằng,
Hạ Long,Quảng Ninh,thành phố
Hà Quảng,Cao Bằng,
Hà Tiên,Kiên Giang,thành phố
Hà Tĩnh,Hà Tĩnh,thành phố
Hà Trung,Thanh Hóa,
Hải An,Hải Phòng,quận
Hai Bà Trưng,Hà Nội,quận
Hải Châu,Đà Nẵng,quận
Hải Dương,Hải Dương,thành phố
Hải Hà,Quảng Ninh,
Hải Hậu,Nam Định,
Hải Lăng,Quảng Trị,
Hàm Tân,Bình Thuận,
Hàm Thuận Bắc,Bình Thuận,
Hàm Thuận Nam,Bình Thuận,
Hàm Yên,Tuyên Quang,
Hậu Lộc,Thanh Hóa,
Hiệp Đức,Quảng Nam,
Hiệp Hòa,Bắc Giang,
Hòa An,Cao Bằng,
Hòa Bình,Hòa Bình,thành phố
Hòa Bình,Bạc Liêu,
Hoa Lư,Ninh Bình,
Hòa Thành,Tây Ninh,thị xã
Hòa Vang,Đà Nẵng,
Hoài Ân,Bình Định,
Hoài Đức,Hà Nội,
Hoài Nhơn,Bình Định,thị xã
Hoàn Kiếm,Hà Nội,quận
Hoằng Hóa,Thanh Hóa,
Hoàng Mai,Hà Nội,quận
Hoàng Mai,Nghệ An,thị xã
Hoàng Sa,Đà Nẵng,huyện đảo
Hoàng Su Phì,Hà Giang,
Hóc Môn,Thành phố Hồ Chí Minh,
Hội An,Quảng Nam,thành phố
Hòn Đất,Kiên Giang,
Hớn Quản,Bình Phước,
Hồng Bàng,Hải Phòng,quận
Hồng Dân,Bạc Liêu,
Hồng Lĩnh,Hà Tĩnh,thị xã
Hồng Ngự,Đồng Tháp,thành phố
Hồng Ngự,Đồng Tháp,
Huế,Thừa Thiên Huế,thành phố
Hưng Hà,Thái Bình,
